"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01052934771513e-132,-0.418926415329684,0.037,0.15,2.41637777625641e-128,"HSC/MPP","IRF8"
3.07096029726985e-131,-0.340501822527969,0.532,0.64,7.34328026283166e-127,"HSC/MPP","DDX5"
3.60057960103295e-130,-0.267430594727146,0.163,0.311,8.60970594198998e-126,"HSC/MPP","EZR"
3.30524830045623e-127,0.290573808461822,0.4,0.255,7.90350973605093e-123,"HSC/MPP","MIR924HG"
6.32250466869481e-127,-0.389803402106151,0.536,0.637,1.5118373163783e-122,"HSC/MPP","GABARAP"
9.26877288486685e-127,-0.275915702742571,0.624,0.723,2.21634897222936e-122,"HSC/MPP","MTDH"
1.19457814955145e-126,-0.286483614241835,0.541,0.654,2.85647527120742e-122,"HSC/MPP","PSMA7"
1.54331410469118e-121,-0.323010317049271,0.14,0.275,3.69037268713756e-117,"HSC/MPP","LINC01619"
7.90702028314951e-121,-0.296283466886957,0.074,0.195,1.89072669010671e-116,"HSC/MPP","MYLK"
3.88141818237644e-120,-0.265300823845973,0.351,0.494,9.28124715769855e-116,"HSC/MPP","ATP5ME"
7.31640447285644e-120,-0.267273471863841,0.508,0.62,1.74949863754943e-115,"HSC/MPP","UBL5"
2.97750282885904e-116,-0.315613973453665,0.139,0.266,7.11980476436773e-112,"HSC/MPP","C5orf56"
5.99436501168192e-115,-0.277446386406018,0.233,0.373,1.43337256159338e-110,"HSC/MPP","ZMYND8"
2.87706726433739e-114,-0.268467415333561,0.263,0.4,6.87964324248356e-110,"HSC/MPP","PPP1CA"
1.80177106974566e-111,-0.260388061038438,0.945,0.961,4.30839498197581e-107,"HSC/MPP","EIF1"
1.94951276415508e-110,-0.444080188927737,0.252,0.374,4.66167492164763e-106,"HSC/MPP","MLXIP"
1.54203397765951e-109,-0.257131775817713,0.455,0.574,3.68731164737942e-105,"HSC/MPP","COX6A1"
5.85488624478335e-109,-0.274133508602985,0.145,0.27,1.40002039885259e-104,"HSC/MPP","PTPRE"
3.34099143442958e-108,-0.285626836458462,0.189,0.317,7.98897871800801e-104,"HSC/MPP","CARHSP1"
3.94910121051044e-106,-0.816238994719517,0.887,0.774,9.44309081457257e-102,"HSC/MPP","CD74"
5.0792296945126e-102,-0.287064309840521,0.357,0.481,1.21454540455185e-97,"HSC/MPP","MYL12A"
1.03070377668128e-101,-0.2551882253792,0.56,0.657,2.46461887080028e-97,"HSC/MPP","SUB1"
2.35643463116946e-101,-0.414106008125198,0.457,0.54,5.63470649005241e-97,"HSC/MPP","PSMA6"
1.07586978916225e-100,0.264834725328423,0.687,0.56,2.57261983984478e-96,"HSC/MPP","WWOX"
2.25656311641953e-99,-0.308136948866902,0.145,0.263,5.39589372398239e-95,"HSC/MPP","PIK3CD"
1.00106421892881e-97,-0.492829627702581,0.574,0.628,2.39374476030257e-93,"HSC/MPP","HLA-C"
1.56769180819373e-97,-0.284082694564036,0.277,0.396,3.74866465175285e-93,"HSC/MPP","MPC2"
4.76315702246907e-97,-0.281719056454514,0.848,0.873,1.1389661072128e-92,"HSC/MPP","PPIA"
6.8234003112978e-94,-0.254481858875066,0.226,0.354,1.63161148243753e-89,"HSC/MPP","TSC22D3"
8.02101843714287e-94,-0.350006575426607,0.351,0.459,1.9179859286896e-89,"HSC/MPP","CAMK1D"
1.5749909158329e-93,-0.320920472509662,0.16,0.277,3.76611827793962e-89,"HSC/MPP","GAB1"
1.08390706556786e-92,-0.274987331750623,0.72,0.76,2.59183857518588e-88,"HSC/MPP","HMGN1"
